Country Name;Country Code;Series Name;Series Code;2019 [YR2019]
Afghanistan;AFG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;62.941
Albania;ALB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;79.467
Algeria;DZA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.682
American Samoa;ASM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.751
Andorra;AND;Life expectancy at birth, total (years);SP.DYN.LE00.IN;84.098
Angola;AGO;Life expectancy at birth, total (years);SP.DYN.LE00.IN;63.051
Antigua and Barbuda;ATG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.168
Argentina;ARG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.847
Armenia;ARM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.2219512195122
Aruba;ABW;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.019
Australia;AUS;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.9
Austria;AUT;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.8951219512195
Azerbaijan;AZE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;73.29
Bahamas;BHS;Life expectancy at birth, total (years);SP.DYN.LE00.IN;71.408
Bahrain;BHR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;80.471
Bangladesh;BGD;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.625
Barbados;BRB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.495
Belarus;BLR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;74.2268292682927
Belgium;BEL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.9951219512195
Belize;BLZ;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.577
Benin;BEN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;59.888
Bermuda;BMU;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.251
Bhutan;BTN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;72.005
Bolivia;BOL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;67.82
Bosnia and Herzegovina;BIH;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.394
Botswana;BWA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;67.167
Brazil;BRA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.809
British Virgin Islands;VGB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.845
Brunei Darussalam;BRN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.049
Bulgaria;BGR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.1121951219512
Burkina Faso;BFA;Life expectancy at birth, total (years);SP.DYN.LE00.IN;60.184
Burundi;BDI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;62.18
Cabo Verde;CPV;Life expectancy at birth, total (years);SP.DYN.LE00.IN;75.449
Cambodia;KHM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;70.127
Cameroon;CMR;Life expectancy at birth, total (years);SP.DYN.LE00.IN;61.695
Canada;CAN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;82.1636585365854
Cayman Islands;CYM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;79.052
Central African Republic;CAF;Life expectancy at birth, total (years);SP.DYN.LE00.IN;31.53
Chad;TCD;Life expectancy at birth, total (years);SP.DYN.LE00.IN;52.993
Channel Islands;CHI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.2
Chile;CHL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;80.324
China;CHN;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.94
Colombia;COL;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.793
Comoros;COM;Life expectancy at birth, total (years);SP.DYN.LE00.IN;65.662
Congo Dem. Rep.;COD;Life expectancy at birth, total (years);SP.DYN.LE00.IN;60.242
Congo  Rep.;COG;Life expectancy at birth, total (years);SP.DYN.LE00.IN;63.152
Costa Rica;CRI;Life expectancy at birth, total (years);SP.DYN.LE00.IN;80.296
Cote d'Ivoire;CIV;Life expectancy at birth, total (years);SP.DYN.LE00.IN;60.274
Croatia;HRV;Life expectancy at birth, total (years);SP.DYN.LE00.IN;78.2243902439024
Cuba;CUB;Life expectancy at birth, total (years);SP.DYN.LE00.IN;77.413
Curacao;CUW;Life expectancy at birth, total (years);SP.DYN.LE00.IN;76.492
Cyprus;CYP;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.454
Czechia;CZE;Life expectancy at birth, total (years);SP.DYN.LE00.IN;79.2292682926829
Denmark;DNK;Life expectancy at birth, total (years);SP.DYN.LE00.IN;81.4512195121951
